Ref. Des.,Qty,Value,LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Product Link,Alt Link
"J7, J8",3,15P,C124408,C124408,Ckmtw(Shenzhen Cankemeng),"Through Hole,P=2.54mm","Female Header Female Socket 0.100""(2.54mm) 15 1 Through Hole,P=2.54mm Pin Header & Female Header RoHS",yes,lcsc.com/product-detail/Pin-Header-Female-Header_Ckmtw-Shenzhen-Cankemeng-C124408_C124408.html,
"J9,J10",2,8P,C27438,C27438,BOOMELE(Boom Precision Elec),"Through Hole,P=2.54mm","Female Header Female Socket 0.100""(2.54mm) 8 1 Through Hole,P=2.54mm Pin Header & Female Header RoHS",yes,lcsc.com/product-detail/Pin-Header-Female-Header_BOOMELE-Boom-Precision-Elec-C27438_C27438.html,
J11,1,12P,C8882,PH-12AK,BOOMELE(Boom Precision Elec),Through Hole,"PH Header Male Pin 0.079""(2.00mm) 12 Through Hole Wire To Board / Wire To Wire Connector RoHS",yes,lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_BOOMELE-Boom-Precision-Elec-PH-12AK_C8882.html,
J12,1,USB Type C,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,5A 1 16P Female Type-C SMD USB Connectors ROHS,yes,lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.htm,
,1,12p*6in,455-3415-ND,A12KR12KR26E152B,JST Sales America Inc.,2.00mm,"12 Position Cable Assembly Rectangular Socket to Socket 0.500' (152.40mm, 6.00"")",yes,https://www.digikey.com/short/z9z222,
Screws,12,NA,NA,NA,NA,NA,M3 8mm Buttonhead Phillips Screw Black Nylon,,,
standoffs,2,NA,NA,NA,NA,NA,M3 28mm Female Standoff Black Nylon,,,
standoffs,4,NA,NA,NA,NA,NA,M3 6+6mm Standoff Black Nylon,,,
standoffs,2,NA,NA,NA,NA,NA,M3 8+6mm Standoff Black Nylon,,,
standoffs,4,NA,NA,NA,NA,NA,M3 18mm Female Standoff Black Nylon,,,
standoffs,2,NA,NA,NA,NA,NA,M3 16+6mm Standoff Black Nylon,,,
Rubber foot,6,NA,NA,NA,NA,NA,rubber foot,,,
